Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
El Dovio,2010,22.0,"1,184.2",0.0,363.0,170.0
Florida,2010,18.0,922.0,"11,330.0",0.0,220.0
Ginebra,2010,0.0,953.3,"2,528.0",8.0,155.0
Guacarì,2010,5.0,593.0,"12,973.0",70.0,108.0
Jamundì,2010,299.5,"1,649.0","6,240.0",102.0,173.0
La Cumbre,2010,0.0,862.0,0.0,61.0,321.0
La Unión,2010,13.0,547.0,"1,372.1",12.0,30.0
La Victoria,2010,50.0,765.6,"1,280.4",204.0,295.0
Obando,2010,55.0,"1,511.8","4,239.0",100.0,236.0
Palmira,2010,0.0,279.0,"33,050.0",178.0,120.0
Pradera,2010,0.0,397.5,"11,354.0",0.0,10.0
Restrepo,2010,0.0,"1,256.5",0.0,361.0,592.0
Riofrìo,2010,61.0,"3,893.4","3,021.0",109.0,"1,178.0"
Roldanillo,2010,24.3,994.6,"1,657.1",50.0,80.0
San Pedro,2010,0.0,427.8,"4,598.3",460.0,157.0
Sevilla,2010,11.0,"7,983.0",0.0,218.0,"3,412.0"
Toro,2010,21.0,"1,963.0","1,145.0",0.0,301.0
Trujillo,2010,21.0,"5,011.9",0.0,30.0,923.0
Tuluà,2010,68.0,"3,916.0","8,785.0",29.0,469.0
Ulloa,2010,0.0,"1,232.7",0.0,32.0,531.9
Versalles,2010,0.0,"1,606.0",0.0,448.4,382.3
Vijes,2010,0.0,826.0,0.0,40.0,154.0
Yotoco,2010,0.0,"1,801.0","1,851.1",61.5,"1,101.5"
Yumbo,2010,0.0,354.0,"1,670.2",14.0,26.0
Zarzal,2010,0.0,0.0,"17,841.0",33.0,10.0
Cali,2009,10.0,649.5,"5,726.3",0.0,42.0
Alcalá,2009,0.0,"1,600.8",0.0,80.0,340.0
Andalucia,2009,24.5,312.2,"2,639.4",557.0,90.0
Ansermanuevo,2009,51.6,"5,878.8","2,463.6",88.0,402.0
Argelia,2009,13.0,"3,169.4",0.0,110.0,"1,272.0"
Bolivar,2009,132.0,"1,889.8",486.9,395.0,361.0
Buenaventura,2009,50.0,0.0,0.0,270.0,105.0
Buga,2009,18.0,569.4,"4,016.6",104.0,435.0
Bugalagrande,2009,53.0,"2,218.7","8,528.0",434.0,325.0
Caicedonia,2009,42.0,"5,609.0",109.3,42.0,"2,782.0"
Calima Darién,2009,12.0,624.2,0.0,144.0,208.0
Candelaria,2009,10.0,0.0,"25,017.1","1,272.0",10.0
Cartago,2009,15.0,494.2,"2,781.4",112.0,152.0
Dagua,2009,300.0,"1,557.7",0.0,516.0,312.0
El Aguila,2009,46.0,"6,175.5",0.0,128.0,"1,480.0"
El Cairo,2009,0.0,"4,316.3",0.0,81.0,"4,343.0"
El Cerrito,2009,0.0,156.3,"16,757.4",332.0,6.0
El Dovio,2009,42.0,993.6,0.0,377.0,195.0
Florida,2009,30.0,890.9,"12,382.3",0.0,224.0
Ginebra,2009,0.0,918.3,"2,849.1",8.0,155.0
